name,date_of_birth,company_id,last_active,score,joined_league,us_state
Sara Anderson,1976-05-05,20,2018-02-21,67,1978,Mississippi
Darlene Alvarez,1996-11-28,12,2018-06-14,64,1990,South Carolina
James Turner,1964-10-16,20,2018-09-29,36,1990,Louisiana
Sean Beasley,1986-09-08,13,2018-01-21,78,1972,Missouri
Joanne Kim,1988-04-26,0,2018-01-12,92,1978,South Carolina
Deborah Burke,1994-05-10,2,2018-07-17,43,1974,Virginia
Mark Mann,1977-02-24,3,2018-05-12,34,1976,Alaska
Luis Mooney,1993-10-24,11,2018-08-07,95,1983,New Hampshire
Emily Hammond,1998-06-25,17,2018-11-16,42,1986,Pennsylvania
Rebecca Cox,1988-11-18,18,2018-11-21,47,1978,Rhode Island
Jonathan Sharp,1994-05-05,20,2018-07-25,31,2018,New Hampshire
Donna Martinez,1984-12-17,1,2018-05-03,59,1981,New York
Jesse Thomas,1992-02-11,9,2018-04-10,84,1974,Maine
Tyrone Harrison,1993-11-25,20,2018-11-29,41,2010,Illinois
Sarah Lee,1990-08-02,5,2018-09-20,43,1979,Kentucky
George Gutierrez,1978-07-18,18,2018-01-14,77,1971,Delaware
Bruce Bradford,1988-10-25,8,2018-08-04,51,1971,Indiana
Erik Williams,1968-05-09,20,2018-07-04,37,1974,Georgia
Haley Davidson,1977-07-26,20,2018-10-15,85,1988,New Mexico
Gary Patterson,1997-08-28,20,2018-07-07,70,1999,Alabama
Brenda Hughes,1982-01-05,8,2018-05-06,41,1973,Mississippi
Julie Taylor,1984-04-08,20,2018-09-05,90,1989,New Jersey
Timothy Nguyen,1995-12-16,0,2018-04-21,78,1981,Nevada
Dorothy Mendez,1997-01-04,11,2018-06-01,85,1974,North Dakota
Sandra Payne,1997-07-05,16,2018-05-23,48,1992,Michigan
Billy Mack,1996-08-20,16,2018-03-03,71,1979,Mississippi
Priscilla Patterson,1996-09-28,13,2018-05-21,44,1971,Ohio
Colleen Bradley,1995-05-29,8,2018-01-12,36,1972,Wyoming
Monica Jackson,1984-03-29,3,2018-06-23,48,1978,Alaska
Karla Stanton,1985-09-26,17,2018-12-08,87,1980,Kansas
Tonya Morrow,1983-11-22,11,2019-01-07,53,1971,Vermont
Brandi Lee,1985-11-17,0,2018-05-09,83,1971,California
Ryan Harper,1980-01-21,20,2018-02-02,96,2012,Alabama
Laura Sanchez,1987-08-07,0,2018-02-25,85,1975,New Hampshire
Richard Donaldson,1983-01-06,13,2018-01-29,53,1980,North Dakota
Jeremy Soto,1984-10-20,13,2018-03-03,99,1970,Nevada
Mark Spencer,1982-10-25,12,2018-10-14,84,1980,New Mexico
Jeffrey Garcia,1996-02-06,1,2018-06-11,36,1981,Ohio
Craig Andrews,1989-04-10,18,2018-08-04,82,1983,Nebraska
James Bowen,1984-08-27,10,2018-08-31,46,1979,Wisconsin
Sean Williams,1986-01-22,18,2018-05-06,67,1976,Colorado
Mr. Scott Ramirez,1984-04-08,7,2018-08-16,95,1971,Vermont
Caitlin Morgan,1986-03-21,11,2018-05-30,81,1985,Alabama
Stephen Golden,1993-03-17,12,2018-06-26,96,1978,North Carolina
John Howard,1991-04-28,16,2018-01-17,98,1980,Nebraska
Hunter Smith,1998-05-30,20,2018-02-15,68,2013,Arizona
Veronica Cunningham,1989-03-14,14,2018-08-09,35,1987,Oklahoma
Lauren Johnson,1983-01-01,3,2018-09-26,65,1974,Tennessee
Michael Jackson,1970-04-08,20,2018-11-28,86,1981,Colorado
Stephanie Gardner,1999-01-02,17,2018-07-12,91,1998,Illinois
Alicia Salas,1995-01-28,20,2018-10-17,90,1978,Alabama
Hunter Shaffer,1987-03-20,5,2018-10-17,67,1972,West Virginia
Scott Moss,1994-11-19,20,2018-08-28,89,2007,Tennessee
Yvette Vance,1998-03-10,19,2018-12-08,60,1971,Hawaii
Denise Miller,1997-03-15,12,2018-09-16,54,1993,South Carolina
Micheal Pearson,1983-04-11,17,2018-04-16,82,1982,Montana
Jennifer Cobb,1969-07-24,20,2018-07-26,32,2018,New Hampshire
Richard Roberts,1985-02-21,20,2019-01-05,88,1999,Louisiana
Kelly Mclaughlin,1984-08-02,13,2018-02-24,42,1983,Wyoming
Jeffrey Beasley,1998-12-04,2,2018-12-05,88,1976,South Dakota
Deanna Kelly,1998-08-13,6,2018-05-26,60,1982,South Dakota
Carla Day,1994-09-30,10,2018-02-25,46,1978,Hawaii
Matthew Gomez,1972-11-22,20,2018-08-27,96,1983,Florida
Lisa Escobar,1979-10-13,7,2018-05-12,92,1976,New Jersey
Rebecca Brown,1990-11-22,15,2018-07-20,47,1987,Oklahoma
Margaret Smith,1997-02-02,11,2018-08-04,53,1980,North Carolina
Daniel Bird,1997-03-29,13,2018-03-11,57,1992,New Jersey
Melissa Perez,1989-05-01,5,2018-08-19,66,1978,New Mexico
Mr. Joel Barnett,1998-01-01,20,2018-03-23,41,1982,Indiana
James Fuentes,1997-09-02,15,2018-03-18,47,1978,Alabama
Paul Frey,1961-03-13,20,2018-05-22,32,1975,Connecticut
Travis Jones,1971-09-30,14,2018-06-02,37,1970,Maryland
Jerry Golden,1993-02-04,5,2018-03-29,65,1991,New York
Brittany Phillips,1994-08-02,0,2018-02-17,90,1978,Maryland
Angela Burke,1996-01-05,19,2018-08-14,83,1985,Idaho
Julian Garcia,1993-05-19,9,2018-05-03,34,1980,North Carolina
Daniel Peters,1963-03-20,20,2018-02-09,45,1974,Arkansas
Daniel Jordan,1968-07-02,20,2018-07-07,89,2007,Maine
Eric Roberts,1987-06-30,0,2018-11-21,67,1978,Iowa
Annette Smith,1987-04-27,19,2018-03-06,61,1973,South Carolina
Lauren Bruce,1987-12-14,19,2018-04-21,69,1974,Montana
Heather Rasmussen,1991-04-05,6,2018-04-24,47,1979,Indiana
Brianna Ramirez,1988-07-24,2,2018-08-16,44,1978,Georgia
Christine Weber,1994-03-26,18,2018-09-08,68,1990,Idaho
Mario Edwards,1975-03-30,1,2018-10-29,75,1973,Arkansas
Heather Hernandez,1991-07-15,7,2018-03-18,85,1981,South Carolina
Joseph Thompson,1994-06-23,20,2018-05-18,79,2009,Wisconsin
Sarah Arellano,1996-06-18,1,2018-08-21,94,1984,New Jersey
Kevin Lopez,1990-06-18,7,2018-01-22,88,1983,Georgia
Ashley Palmer,1972-10-01,18,2018-12-14,45,1971,California
Crystal French,1995-08-06,16,2018-05-27,46,1986,Minnesota
Michael Boyd,1978-09-17,8,2018-01-23,46,1970,Alaska
Todd Santiago,1996-11-24,5,2018-02-16,60,1990,Maine
Tyler Chapman,1991-03-27,16,2018-04-28,93,1988,Oklahoma
Ashley Brown,1987-03-23,16,2018-02-28,65,1985,New Jersey
Jean Franklin,1991-09-10,19,2018-10-30,58,1988,Maryland
Dakota Little,1991-05-12,17,2019-01-05,33,1978,New Jersey
Brenda Wilson,1995-12-27,2,2018-05-28,66,1973,Ohio
Margaret Powell,1998-11-22,10,2018-08-12,56,1997,Montana
Jasmine Turner,1992-10-03,15,2018-07-13,35,1981,Indiana
Stephanie Rowe,1973-07-31,13,2018-01-25,48,1971,Utah
Joanne George,1977-11-01,9,2018-06-22,74,1974,Louisiana
Douglas Richardson,1992-10-30,9,2018-10-26,81,1973,Alaska
Mrs. Amy Peterson,1991-05-30,3,2018-08-19,96,1988,Maryland
Elizabeth Holloway,1982-04-02,19,2018-05-10,88,1979,North Dakota
Lisa Mcintyre,1998-03-20,10,2018-09-29,42,1980,Indiana
Jacqueline Andersen,1966-03-21,20,2018-09-11,38,2010,New Jersey
William Moore,1998-10-04,2,2018-03-15,43,1988,Wisconsin
Beverly Nielsen,1997-06-18,8,2018-08-02,65,1981,Maine
Tracy Farrell,1990-08-22,12,2018-12-25,46,1974,California
Beth Bowers,1970-05-14,20,2018-04-07,75,2002,Maine
Anthony Li,1994-01-28,13,2018-10-25,76,1980,Oklahoma
Mr. William Hoffman MD,1994-07-02,3,2018-07-29,57,1988,Missouri
Clinton White,1991-02-04,20,2018-08-29,89,2011,Colorado
Wanda Oliver,1990-09-20,3,2018-10-17,96,1985,Arizona
William Willis,1994-10-12,13,2018-01-23,50,1979,Connecticut
Scott Novak,1991-12-07,8,2018-08-31,65,1977,Georgia
Stephanie Brooks,1978-01-04,4,2018-07-12,86,1975,New Hampshire
Jennifer Hartman,1975-12-10,4,2018-10-27,37,1973,California
Jamie Wagner,1976-08-04,20,2018-06-07,98,2014,New York
Ann Sloan,1968-12-23,20,2018-11-22,71,1990,Mississippi
Tiffany Lopez,1990-04-11,19,2018-09-12,94,1972,Massachusetts
Bradley Burns,1990-11-08,7,2018-08-11,48,1972,Georgia
Tamara Cooper,1996-06-09,10,2018-05-06,31,1995,Nevada
Timothy Wood,1998-06-06,13,2018-11-01,73,1971,Missouri
Julie Boyd,1998-09-06,14,2018-06-17,79,1987,Illinois
James Gonzales,1996-11-19,3,2019-01-09,71,1978,Indiana
Samantha Anderson,1980-08-09,15,2019-01-05,47,1974,Illinois
Catherine Rivera,1993-08-18,19,2018-01-18,60,1970,Wyoming
Michael Miller,1993-07-09,15,2018-10-08,36,1975,Mississippi
Jonathan Lane,1989-06-24,16,2018-11-21,95,1988,Tennessee
Elizabeth Hansen,1982-10-01,4,2018-04-27,78,1976,Tennessee
Sarah Sanchez,1981-07-24,9,2018-01-12,73,1978,Pennsylvania
Patrick Taylor II,1980-09-17,17,2018-07-05,81,1971,Kansas
Jay Valdez,1966-06-26,20,2018-02-08,60,1974,Michigan
Tiffany Winters,1984-11-14,20,2018-07-21,57,2015,Colorado
Cindy Casey,1983-08-18,20,2018-02-14,48,1993,Kentucky
Jamie Everett,1992-10-25,18,2018-02-07,90,1975,Utah
Daniel Barnes,1994-12-05,13,2018-01-10,49,1979,Florida
Katherine Cunningham,1996-04-02,0,2018-03-11,61,1970,New Jersey
Jessica Gordon,1997-06-16,4,2018-08-05,64,1975,Illinois
Bailey Ramirez,1966-10-13,20,2018-06-28,38,2006,Virginia
Beth Perez,1990-02-02,11,2018-09-11,59,1974,California
Toni Simpson,1981-05-08,18,2018-07-31,81,1975,West Virginia
David Smith,1971-04-29,20,2018-03-06,32,1991,Maine
Dylan Scott,1986-01-30,1,2018-07-21,34,1975,Virginia
Elijah Valdez,1992-03-31,16,2018-06-13,69,1975,Rhode Island
Mark Martinez,1992-11-17,0,2018-01-19,42,1981,Montana
Justin Rose,1993-01-06,14,2018-02-04,41,1990,New Mexico
Chase Hoover,1989-05-18,20,2018-10-11,75,2010,Tennessee
Maria Hernandez,1988-01-24,18,2018-07-18,35,1984,Massachusetts
Benjamin Graves,1991-06-14,16,2018-10-05,40,1981,Mississippi
Alexander Bishop,1985-08-20,12,2018-01-24,41,1977,Louisiana
Edward Campbell,1991-09-06,9,2018-02-16,49,1972,Maine
Brittany Luna,1973-06-08,20,2018-11-14,86,1981,Montana
Darlene Mendoza,1976-10-04,20,2018-06-28,99,2018,Alaska
Julie Davidson,1988-11-23,3,2018-01-17,99,1975,Louisiana
Lisa Dillon,1995-03-20,10,2018-12-02,96,1994,Florida
Ebony Lewis,1976-12-10,20,2018-10-20,36,1970,West Virginia
Debra Webb,1982-09-09,20,2018-04-08,43,2004,Minnesota
Dominique Walters,1990-01-14,20,2018-10-06,93,1982,Connecticut
Jake Lane,1985-05-08,19,2018-11-05,45,1970,Illinois
Paul Martinez,1998-03-13,20,2018-04-18,64,2018,Arkansas
Joshua Davis,1989-08-29,15,2018-05-31,47,1986,Arkansas
Robert Thomas,1980-05-05,2,2018-09-23,45,1979,Oklahoma
Mrs. Jaime Nguyen,1994-04-10,3,2018-04-26,59,1983,Kansas
Sara Miller,1991-11-24,8,2018-09-02,31,1981,Maryland
Paul Mcpherson,1980-07-15,2,2018-01-09,51,1975,New York
Kristina Fuller,1994-09-15,0,2018-09-10,46,1979,Utah
Todd Mitchell,1996-08-24,13,2018-03-29,38,1989,Missouri
Joshua Nelson,1996-01-06,20,2018-02-07,50,2015,Colorado
Savannah Vargas,1972-10-28,20,2018-08-06,86,2010,Idaho
Brian Garcia,1995-06-01,7,2018-03-03,41,1984,Vermont
Troy Frank,1971-07-23,20,2018-04-15,67,1972,Alaska
Sarah Holmes,1982-04-25,20,2018-03-10,46,2009,Oregon
Dana Weaver,1996-11-02,9,2018-02-13,70,1993,Delaware
Stacey Harper,1990-08-31,0,2018-07-16,59,1981,Maryland
Erica Green,1988-10-12,19,2018-02-20,55,1976,Kansas
Elizabeth Williams,1997-11-03,3,2018-04-30,86,1977,North Dakota
Luis Cole,1989-12-12,17,2018-07-27,40,1980,Nebraska
Lisa Jensen,1986-05-24,10,2018-06-13,58,1985,Washington
Tiffany Stevens,1994-12-06,20,2018-06-09,32,1979,Minnesota
Krystal Williams,1984-06-25,12,2018-07-30,73,1979,Minnesota
Shannon Miller,1996-04-22,9,2018-02-15,90,1974,Nevada
Antonio Kramer,1982-02-21,12,2018-03-19,69,1980,Vermont
Ashley Williams,1981-12-27,6,2018-08-04,84,1972,Kentucky
Karen Erickson,1985-07-04,0,2018-07-18,93,1977,South Dakota
Nicole Pierce,1995-06-22,6,2018-02-14,86,1970,Iowa
William Harris,1988-09-15,4,2018-01-30,99,1978,California
Joshua Bailey,1990-02-07,6,2018-09-06,30,1975,Indiana
Lindsey Flynn,1996-02-18,4,2019-01-01,76,1984,New Mexico
Justin Martinez,1982-08-30,20,2018-10-08,61,2003,Wisconsin
Mr. John Kim,1986-07-28,16,2018-08-01,48,1977,Minnesota
Ashley Simmons,1986-09-23,1,2018-08-27,67,1971,Ohio
Courtney Martinez,1993-05-24,15,2018-02-15,84,1970,Texas
Jasmine Cox,1995-02-03,0,2018-12-23,37,1977,Wisconsin
Joseph Santiago,1959-09-29,20,2018-05-02,77,1987,Maryland
Nathan Harmon,1991-05-09,7,2018-12-04,45,1989,North Dakota
Jessica Miller,1987-10-14,1,2018-11-29,70,1984,Connecticut
Jared Douglas,1985-05-15,15,2018-03-16,63,1977,Florida
Stacy Landry,1992-06-27,12,2018-10-06,71,1985,Maryland
Nicole Patel,1987-01-22,9,2018-10-10,72,1985,Missouri
Rebecca Estrada,1993-03-31,20,2018-12-30,84,1976,Massachusetts
Nicholas Jenkins,1989-03-13,14,2018-12-03,40,1979,Utah
Lisa Castro,1972-10-13,8,2018-05-22,40,1970,Minnesota
Julie Hill,1980-08-01,20,2018-06-02,37,1981,Rhode Island
Jose Huerta,1969-10-06,20,2018-03-03,73,1984,Missouri
Darrell Benson,1994-01-21,16,2018-08-30,97,1985,California
Rose Savage,1996-04-19,3,2018-12-30,90,1991,New York
Chris Williams,1997-06-26,20,2018-12-27,98,2016,Iowa
Natalie Porter,1969-06-02,20,2018-06-27,85,1978,Hawaii
Christopher Wilson,1989-02-17,9,2018-08-06,82,1974,Delaware
Nancy Hicks,1994-10-03,3,2018-04-11,41,1971,Tennessee
Erin Mcdowell,1983-05-05,20,2018-02-20,97,2007,Mississippi
Steven Barnes,1971-12-29,7,2018-02-15,71,1970,Delaware
Cassandra Moore,1977-11-25,20,2018-08-22,38,1973,Michigan
Nicholas Adams,1990-07-10,18,2018-09-19,76,1980,Missouri
Gregory Christensen,1979-06-20,0,2018-07-21,94,1975,Nebraska
Stacy Lane,1985-06-04,14,2018-01-20,47,1975,South Dakota
Johnny Gonzalez DDS,1976-04-12,1,2018-06-05,52,1975,North Dakota
Amanda Torres,1966-03-26,20,2019-01-07,80,1980,Georgia
Timothy Cohen,1984-05-27,18,2018-10-06,76,1978,Connecticut
Andre Herrera,1987-11-05,5,2018-07-06,66,1972,Utah
Charles Osborn,1993-01-26,16,2018-07-11,37,1984,Hawaii
Teresa Gardner,1985-03-10,5,2018-05-04,36,1977,Georgia
Rebecca Peterson,1992-11-04,20,2018-09-29,92,2011,Montana
Nicholas Pugh,1989-12-18,20,2018-12-10,56,2007,Indiana
Ellen Lawrence,1990-08-02,16,2018-03-12,76,1988,Minnesota
Kayla Miller,1978-12-30,18,2018-03-09,90,1977,Oregon
James Pena,1963-06-08,20,2018-05-20,30,2015,Utah
Richard Roberts,1959-06-30,20,2018-04-30,83,1989,Florida
Christopher King,1994-10-27,2,2018-06-01,67,1974,New Hampshire
Travis Pollard,1990-12-17,20,2018-07-07,89,1975,Maryland
Thomas Thompson,1977-01-18,20,2018-03-26,79,2013,Connecticut
Roger Duke,1986-01-22,8,2018-09-17,53,1975,Oregon
Ryan Collins,1994-01-02,20,2018-03-20,38,2015,Virginia
Martin Potter,1996-10-21,8,2018-12-14,42,1972,California
Jacob Mosley,1997-09-09,18,2018-11-10,38,1971,Massachusetts
Chelsey Cantu,1996-08-04,6,2018-03-04,33,1977,Minnesota
Samantha Fletcher,1991-07-24,19,2018-05-09,84,1975,Arizona
Billy Wood,1995-12-31,0,2018-06-10,67,1971,Iowa
Vanessa Peters,1988-08-09,16,2018-04-30,46,1986,Idaho
Alan Gay,1992-01-30,6,2018-05-19,51,1975,Wyoming
Christina Lewis,1992-10-27,18,2018-12-12,75,1970,Pennsylvania
Stephanie Moreno,1991-10-17,7,2018-07-16,93,1986,Georgia
Paula Hardy,1992-11-12,8,2018-12-25,69,1983,Arizona
Donald Morgan,1983-05-05,13,2018-07-31,72,1977,Mississippi
John Ayala,1984-06-16,17,2018-04-29,62,1983,Nebraska
Steven Bell,1972-08-07,2,2018-05-14,90,1970,Texas
Angel Mcintosh,1980-01-28,10,2018-07-14,49,1972,South Dakota
Matthew Larson,1982-08-07,12,2018-07-16,47,1981,Minnesota
Laura Thompson,1983-05-27,10,2018-08-06,74,1974,Louisiana
Ashley Allison,1997-06-12,12,2018-01-16,40,1991,Delaware
Julie Edwards,1989-12-24,5,2018-05-29,35,1987,New Hampshire
Jennifer Fox,1998-07-25,7,2018-10-22,86,1980,Missouri
Barbara Smith,1991-01-20,15,2018-10-07,76,1977,Arizona
Troy Brooks DDS,1988-05-04,13,2018-08-31,32,1975,Pennsylvania
Robert Johns,1999-01-01,0,2018-11-22,98,1977,West Virginia
James Robinson,1975-09-13,0,2018-05-05,72,1973,Alaska
Jerry Taylor,1988-11-07,5,2018-07-23,86,1971,Rhode Island
David Myers,1997-01-14,18,2018-03-02,89,1994,Maryland
Dawn Mayer,1983-04-28,20,2018-07-31,68,1977,Montana
Mrs. Erica Flowers,1986-03-26,12,2018-05-31,51,1984,Missouri
Jeffery Lambert,1984-06-25,20,2018-06-11,50,1975,Oklahoma
Christopher Miller,1993-11-01,9,2018-12-29,61,1973,Texas
Donald Davis,1969-11-28,20,2018-04-14,70,2015,Maryland
Julie Salazar,1992-03-11,19,2018-03-21,48,1987,Massachusetts
Eric Perry,1998-05-16,5,2018-09-23,46,1984,North Carolina
Patricia Walters,1985-11-20,19,2018-02-14,85,1980,Missouri
Anthony Dean,1994-12-04,16,2018-03-29,35,1976,Alaska
Mark Lindsey,1988-07-04,3,2018-02-10,78,1986,Ohio
Daniel Collins,1985-08-04,17,2018-04-09,89,1978,Arizona
Dr. Michael Salazar,1997-06-26,0,2018-08-06,77,1976,South Carolina
William Perez,1990-05-16,4,2018-12-24,89,1981,Florida
Patrick Newman,1985-01-11,19,2018-03-09,52,1977,North Dakota
Shelby Jones,1995-10-06,4,2018-05-26,59,1976,Florida
Suzanne Thompson,1989-06-12,20,2018-02-19,73,2017,Utah
Tiffany Fritz,1990-04-25,14,2018-07-30,85,1974,New York
Donna Gill,1994-02-24,11,2018-09-17,61,1981,Minnesota
Jamie Cabrera,1998-05-10,18,2018-06-26,58,1975,Oregon
Denise Atkinson,1990-06-24,7,2018-05-24,81,1982,Colorado
Samantha Clayton,1976-09-26,12,2018-11-02,73,1973,Virginia
Roberta Russell,1991-12-14,3,2018-01-09,37,1971,Hawaii
Ana Cruz,1964-05-08,20,2018-08-05,60,1997,West Virginia
Don Shaw,1990-11-01,2,2018-05-04,36,1975,New Mexico
Michelle Dean,1981-01-01,17,2018-01-13,86,1977,Iowa
David Shepherd,1997-03-14,20,2018-12-14,75,2012,Utah
Sarah Morales,1994-06-19,11,2018-01-15,94,1991,Missouri
Kevin Mckenzie,1994-04-09,10,2018-07-27,54,1993,Minnesota
Rebecca Liu,1977-12-06,9,2018-10-26,96,1971,Utah
Amy Medina,1991-12-25,20,2018-10-25,69,2016,Florida
Sheila Frye,1995-12-05,4,2019-01-02,89,1971,Georgia
Trevor Heath,1997-01-17,19,2018-04-21,99,1980,Iowa
Amanda Barry,1994-06-07,12,2018-09-03,70,1985,Kentucky
Laurie Burgess,1986-02-06,20,2018-11-25,59,1984,Oklahoma
Michael Guzman,1975-05-08,7,2018-12-12,70,1971,Michigan
Jose Murphy,1992-10-01,12,2018-10-27,44,1985,Maine
Courtney King,1975-10-24,5,2018-04-13,41,1970,Arizona
Brittany Hess,1989-07-29,12,2018-09-30,98,1977,Oregon
David Shaw,1971-09-10,3,2018-01-22,59,1970,Washington
Susan Rojas,1990-01-13,7,2018-09-08,97,1972,Michigan
Donald Christensen,1990-01-12,5,2018-05-01,31,1972,North Dakota
Stacey Newton,1989-01-01,18,2018-06-21,46,1976,South Carolina
Julie Zamora,1994-03-25,1,2018-03-04,53,1980,Oklahoma
Arthur Wright,1997-09-01,17,2018-04-03,50,1992,Ohio
Chelsea Howard,1997-10-06,15,2018-03-14,45,1976,New Hampshire
Robert Taylor,1996-05-31,14,2018-10-03,34,1975,Alaska
Jennifer Stewart,1993-03-13,19,2018-06-16,89,1971,Louisiana
Thomas Brown,1990-05-24,3,2018-04-12,42,1981,Maine
John Kelly,1972-12-05,16,2018-05-27,94,1971,Pennsylvania
Mason Summers,1997-09-15,13,2018-02-06,83,1991,Iowa
Samantha Anderson,1990-05-04,19,2018-09-10,71,1970,Montana
Max Black DDS,1983-10-26,6,2018-11-28,41,1978,Florida
Ian Roberts,1997-08-05,2,2018-06-14,39,1982,Montana
George Hurley,1983-03-19,9,2018-07-02,88,1973,Michigan
Marissa Fritz,1997-03-18,20,2018-02-24,55,1988,Mississippi
Mary Williams,1986-12-28,6,2018-09-10,53,1970,Connecticut
Christopher Allen,1992-03-06,10,2018-12-01,91,1978,Idaho
Kelly Long,1979-05-18,11,2018-03-16,53,1974,North Carolina
Cynthia Massey,1988-01-22,13,2018-03-22,88,1980,Oklahoma
Joshua Beck,1967-12-05,20,2018-11-27,39,1984,Indiana
Mary Weaver,1989-05-03,9,2018-06-28,39,1973,Indiana
Amy Allen,1991-05-27,16,2018-02-17,41,1981,Vermont
William Huang,1991-12-02,5,2018-11-19,74,1974,Kentucky
Emily Thompson,1994-05-24,7,2018-03-10,45,1983,Connecticut
Chris Robinson,1997-02-28,20,2018-05-19,75,1984,Connecticut
James Nelson,1989-09-30,4,2018-09-22,85,1988,Virginia
Dylan Davis,1993-02-11,5,2018-02-24,66,1983,Colorado
Bobby Conrad,1977-10-24,20,2018-09-16,30,1997,Wyoming
Danny Esparza,1987-07-12,9,2018-04-13,41,1973,Wyoming
Wendy Frederick,1995-12-17,1,2018-02-17,52,1974,Arizona
Thomas Gilbert,1995-01-13,8,2018-03-27,74,1979,Georgia
Katie Woods,1993-12-08,12,2018-10-29,99,1975,California
David Sanders,1996-07-13,17,2018-02-07,97,1983,Virginia
Kimberly Hurley,1993-11-29,5,2018-07-17,53,1971,North Dakota
Joshua Shaw,1998-07-30,4,2018-05-12,67,1978,Rhode Island
Nicole Allen,1985-07-04,16,2018-01-19,44,1984,Washington
Laura Aguirre,1987-06-28,11,2018-12-21,73,1986,Tennessee
Victoria Gomez,1986-04-10,2,2018-08-29,41,1981,Alabama
Jonathon Fritz,1994-01-31,4,2018-09-04,91,1983,Alaska
Holly Barron,1985-05-29,11,2018-07-14,59,1979,Alaska
Karen Cruz,1991-12-24,13,2018-10-17,74,1973,Virginia
Cindy Price,1973-03-09,20,2018-09-29,65,2017,Missouri
Matthew Evans,1996-07-08,2,2018-02-20,56,1972,Illinois
Elizabeth Lopez,1978-07-30,12,2018-02-22,98,1976,Massachusetts
Tanner Crawford,1997-05-23,13,2018-12-30,52,1991,Arizona
Jennifer Downs,1992-05-18,0,2019-01-03,93,1989,Virginia
Caleb Barr,1993-10-06,5,2018-06-08,51,1992,Nevada
Shannon Harmon,1976-01-01,0,2018-07-31,41,1974,Montana
Erika Farrell,1992-04-20,10,2018-02-03,70,1975,Kentucky
William George,1990-06-21,10,2018-03-09,33,1985,Missouri
Tracey Davis,1986-11-06,9,2018-07-01,79,1970,Vermont
Scott Coffey,1994-03-16,0,2018-03-19,50,1988,Minnesota
Sarah Rodriguez,1960-06-09,20,2018-07-23,82,2018,Connecticut
Eric Oconnor,1997-09-06,6,2019-01-05,64,1978,Missouri
Deborah Mitchell,1977-11-07,9,2018-04-03,37,1973,Alaska
Matthew Morris,1993-12-31,7,2018-12-10,31,1987,Georgia
Susan Cox,1994-01-11,16,2018-09-01,69,1977,Florida
Margaret Perez,1974-04-15,8,2018-03-05,54,1972,Georgia
James Adams,1996-01-26,12,2018-08-18,88,1990,North Dakota
Ashley Kelly,1985-01-22,16,2018-05-19,76,1984,Mississippi
Nicole Lopez,1989-04-09,15,2018-02-20,86,1973,New York
Christopher Shea,1998-04-01,19,2018-07-23,30,1997,Florida
Kimberly Saunders,1996-08-12,16,2018-07-05,96,1974,Pennsylvania
Jennifer Gross,1988-09-11,3,2018-11-22,83,1970,Delaware
Craig Cooper,1997-08-15,8,2018-07-31,66,1976,Kansas
Janet Mercado,1984-11-26,3,2018-04-23,30,1972,Massachusetts
Brenda Mccormick,1990-05-19,0,2018-05-28,64,1985,Tennessee
Amanda Thomas,1986-12-24,17,2018-11-06,48,1974,New Mexico
Mark Grant,1981-04-19,3,2018-03-07,70,1976,Oregon
Hannah Jackson,1983-03-24,15,2018-03-09,87,1973,Minnesota
Crystal Harris,1997-10-13,10,2018-01-29,85,1991,California
Jon Jones,1995-09-24,1,2018-09-25,44,1992,North Dakota
Julie Bryant,1985-08-31,1,2018-06-22,45,1981,Oklahoma
Jeffrey Johnson,1997-08-20,14,2018-04-12,62,1996,Rhode Island
Kimberly Morales,1997-07-02,0,2018-11-17,91,1974,Louisiana
Robert Wilson,1987-10-30,4,2018-05-26,65,1982,Alabama
Jonathan Lewis,1997-08-21,8,2018-01-15,35,1988,Mississippi
William Ford,1984-06-17,10,2018-09-06,70,1980,Alabama
Kevin Mason,1982-02-27,10,2018-07-03,98,1979,Massachusetts
Emily Smith,1981-07-15,6,2018-01-09,92,1977,Georgia
Lauren Clark,1977-05-11,5,2018-06-12,64,1975,Nevada
James Maldonado,1995-06-26,14,2018-06-10,96,1986,North Carolina
Maria Brock,1977-10-04,4,2018-03-30,85,1972,Alaska
Phillip Parsons,1996-05-05,6,2018-12-01,33,1980,Ohio
Jason Meyer,1964-01-02,20,2018-04-25,46,2006,Missouri
Brianna Castro,1972-07-02,18,2018-08-23,77,1971,Tennessee
Pamela Golden,1982-06-22,15,2018-01-19,70,1971,Ohio
Kristen Sutton,1991-12-05,9,2018-07-02,49,1979,Florida
Teresa Jackson,1994-04-25,18,2018-09-03,30,1987,Oregon
Richard Coleman,1989-03-03,17,2018-04-29,42,1987,Montana
Anne Lewis,1978-03-24,20,2018-03-04,47,2013,New Jersey
Crystal Hernandez,1998-05-11,14,2018-01-18,56,1993,Montana
Amanda Herrera,1985-09-19,6,2018-07-30,61,1975,New York
Tonya Miller,1997-11-10,3,2018-03-30,36,1971,Texas
Dawn Ortiz,1998-09-17,10,2018-07-15,33,1991,Idaho
Jessica Green,1998-06-30,10,2018-11-12,55,1973,Michigan
Sarah Stevens,1993-10-08,0,2018-01-24,38,1984,California
Kevin Dodson,1992-01-22,16,2018-12-07,68,1977,Iowa
Ryan Ballard,1988-01-27,1,2018-01-20,37,1987,Louisiana
Michael Allen,1972-09-23,20,2018-10-10,83,1971,Virginia
Darren Miller,1990-05-21,12,2018-10-04,55,1974,Texas
